"","Protein1","Protein2","Spectra_Count","Site_Count","Gene1","Gene2","Context","CC","MF","BP"
"1370","P0C0S8","Q71DI3",159,22,"H2AC11","H3C15","rich",0.895,0.889,0.591
"1371","P0C0S8","Q7L7L0",13,2,"H2AC11","H2AW","poor",0,0,0
"1372","P0C0S8","Q8N257",18,9,"H2AC11","H2BU1","rich",0,0,0
"1373","P0C0S8","Q93077",13,2,"H2AC11","H2AC6","poor",0.957,0.926,0.613
"1374","P0C0S8","Q93079",97,23,"H2AC11","H2BC9","rich",0.818,0.878,0.373
"1375","P0C0S8","Q96A08",5,3,"H2AC11","H2BC1","rich",0.725,0.786,0.419
"1376","P0C0S8","Q99877",97,23,"H2AC11","H2BC15","rich",0.88,0.795,0.373
"1377","P0C0S8","Q99879",45,8,"H2AC11","H2BC14","rich",0.88,0.795,0.373
"1378","P0C0S8","Q99880",96,22,"H2AC11","H2BC13","rich",0.88,0.889,0.373
"1379","P0C0S8","Q9Y6F1",1,1,"H2AC11","PARP3","poor",0.514,0.345,0.164
"1380","P0CG39","P17275",1,1,"POTEJ","JUNB","poor",0.408,0.248,0.187
"1381","P0CG47","P23527",13,3,"UBB","H2BC17","poor",0.601,0.595,0.114
"1382","P0CG47","P33778",13,3,"UBB","H2BC3","poor",0.592,0.595,0.114
"1383","P0CG47","P57053",13,3,"UBB","H2BC12L","poor",0.67,0.429,0.122
"1384","P0CG47","P58876",13,3,"UBB","H2BC5","poor",0.673,0.64,0
"1385","P0CG47","P62805",3,1,"UBB","H4C1","poor",0.611,0.562,0.142
"1386","P0CG47","P62807",13,3,"UBB","H2BC4","poor",0.711,0.619,0.055
"1387","P0CG47","Q15843",3,1,"UBB","NEDD8","poor",0.725,1,0.401
"1388","P0CG47","Q16778",13,3,"UBB","H2BC21","poor",0.711,0.595,0.055
"1389","P0CG47","Q5QNW6",13,3,"UBB","H2BC18","poor",0.673,0.504,0
"1390","P0CG47","Q8N257",13,3,"UBB","H2BU1","poor",0,0,0
"1391","P0CG47","Q93079",13,3,"UBB","H2BC9","poor",0.653,0.655,0.114
"1392","P0CG47","Q96A08",13,3,"UBB","H2BC1","poor",0.537,0.568,0.196
"1393","P0CG47","Q99877",13,3,"UBB","H2BC15","poor",0.673,0.429,0.114
"1394","P0CG47","Q99879",13,3,"UBB","H2BC14","poor",0.673,0.429,0.114
"1395","P0CG47","Q99880",13,3,"UBB","H2BC13","poor",0.673,0.595,0.114
"1396","P0CG47","Q9Y5Q8",1,1,"UBB","GTF3C5","poor",0.4,0.484,0.179
"1397","P0CG48","P23527",13,3,"UBC","H2BC17","poor",0.633,0.654,0.033
"1398","P0CG48","P33778",13,3,"UBC","H2BC3","poor",0.62,0.654,0.033
"1399","P0CG48","P57053",13,3,"UBC","H2BC12L","poor",0.71,0.503,0.028
"1400","P0CG48","P58876",13,3,"UBC","H2BC5","poor",0.716,0.684,0
"1401","P0CG48","P62805",3,1,"UBC","H4C1","poor",0.63,0.719,0.058
"1402","P0CG48","P62807",13,3,"UBC","H2BC4","poor",0.755,0.668,0.03
"1403","P0CG48","Q15843",3,1,"UBC","NEDD8","poor",0.774,0.873,0.573
"1404","P0CG48","Q16778",13,3,"UBC","H2BC21","poor",0.755,0.654,0.03
"1405","P0CG48","Q5QNW6",13,3,"UBC","H2BC18","poor",0.716,0.553,0
"1406","P0CG48","Q8N257",13,3,"UBC","H2BU1","poor",0,0,0
"1407","P0CG48","Q93079",13,3,"UBC","H2BC9","poor",0.69,0.704,0.033
"1408","P0CG48","Q96A08",7,2,"UBC","H2BC1","poor",0.548,0.609,0.126
"1409","P0CG48","Q99877",13,3,"UBC","H2BC15","poor",0.716,0.503,0.033
"1410","P0CG48","Q99879",13,3,"UBC","H2BC14","poor",0.716,0.503,0.033
"1411","P0CG48","Q99880",13,3,"UBC","H2BC13","poor",0.716,0.654,0.033
"1412","P0CG48","Q9Y5Q8",1,1,"UBC","GTF3C5","poor",0.419,0.589,0.182
"1413","P0DME0","Q13561",1,1,"SETSIP","DCTN2","poor",0.572,0.6,0.099
"1414","P0DME0","Q15651",1,1,"SETSIP","HMGN3","poor",0.93,0.72,0.276
"1415","P0DMR1","Q14684",1,1,"HNRNPCL4","RRP1B","poor",1,1,0
"1416","P0DMR1","Q5SRE5",1,1,"HNRNPCL4","NUP188","poor",0.721,0.134,0
"1417","P0DMR1","Q9UKM9",2,1,"HNRNPCL4","RALY","poor",1,1,0
"1418","P0DMV8","P14625",3,2,"HSPA1A","HSP90B1","poor",0.771,0.74,0.384
"1419","P0DMV8","P19525",1,1,"HSPA1A","EIF2AK2","poor",0.688,0.56,0.494
"1420","P0DMV8","P31948",11,2,"HSPA1A","STIP1","poor",0.675,0.592,0.406
"1421","P0DMV8","P34932",1,1,"HSPA1A","HSPA4","poor",0.666,0.631,0.296
"1422","P0DMV8","P50570",1,1,"HSPA1A","DNM2","poor",0.629,0.623,0.398
"1423","P0DMV8","Q58FF3",3,2,"HSPA1A","HSP90B2P","poor",0.62,0.628,0.788
"1424","P0DMV8","Q92598",2,2,"HSPA1A","HSPH1","rich",0.807,0.629,0.319
"1425","P0DMV8","Q96KB5",1,1,"HSPA1A","PBK","poor",1,0.528,0.312
"1426","P0DMV8","Q9BQG0",1,1,"HSPA1A","MYBBP1A","poor",0.678,0.338,0.381
"1427","P0DMV8","Q9BY42",1,1,"HSPA1A","RTF2","poor",0.488,0.559,0.187
"1428","P0DMV8","Q9GZR7",1,1,"HSPA1A","DDX24","poor",0.458,0.697,0.496
"1429","P0DMV9","P14625",3,2,"HSPA1B","HSP90B1","poor",0.771,0.807,0.392
"1430","P0DMV9","P19525",1,1,"HSPA1B","EIF2AK2","poor",0.695,0.555,0.484
"1431","P0DMV9","P31948",11,2,"HSPA1B","STIP1","poor",0.684,0.617,0.326
"1432","P0DMV9","P34932",1,1,"HSPA1B","HSPA4","poor",0.666,0.67,0.224
"1433","P0DMV9","P50570",1,1,"HSPA1B","DNM2","poor",0.632,0.653,0.323
"1434","P0DMV9","Q58FF3",3,2,"HSPA1B","HSP90B2P","poor",0.62,0.713,0.788
"1435","P0DMV9","Q92598",2,2,"HSPA1B","HSPH1","rich",0.81,0.666,0.296
"1436","P0DMV9","Q96KB5",1,1,"HSPA1B","PBK","poor",1,0.526,0.298
"1437","P0DMV9","Q9BQG0",1,1,"HSPA1B","MYBBP1A","poor",0.684,0.303,0.357
"1438","P0DMV9","Q9BY42",1,1,"HSPA1B","RTF2","poor",0.485,0.571,0.186
"1439","P0DMV9","Q9GZR7",1,1,"HSPA1B","DDX24","poor",0.458,0.76,0.496
"1440","P0DP23","P46940",1,1,"CALM1","IQGAP1","poor",0.666,0.675,0.414
"1441","P0DP23","Q6ZUT9",5,1,"CALM1","DENND5B","poor",0.491,0.335,0.141
"1442","P0DP24","P46940",1,1,"CALM2","IQGAP1","poor",0.657,0.674,0.42
"1443","P0DP24","Q6ZUT9",5,1,"CALM2","DENND5B","poor",0.507,0.349,0.141
"1444","P0DP25","P46940",1,1,"CALM3","IQGAP1","poor",0.656,0.695,0.422
"1445","P0DP25","Q6ZUT9",5,1,"CALM3","DENND5B","poor",0.457,0.369,0.141
"1446","P0DPH7","Q15021",1,1,"TUBA3C","NCAPD2","poor",0.666,0.261,0.289
"1447","P0DPH7","Q16891",1,1,"TUBA3C","IMMT","poor",0.441,0.265,0.255
"1448","P0DPH7","Q9H223",1,1,"TUBA3C","EHD4","poor",0.595,0.554,0.211
"1449","P0DPH8","Q9H223",1,1,"TUBA3D","EHD4","poor",0.533,0.554,0.223
"1450","P10412","P14625",1,1,"H1-4","HSP90B1","poor",0.422,0.567,0.161
"1451","P10412","P16401",5,5,"H1-4","H1-5","rich",0.9,1,0.724
"1452","P10412","P16403",16,12,"H1-4","H1-2","rich",0.922,0.974,1
"1453","P10412","P20671",32,13,"H1-4","H2AC7","rich",0.821,0.715,0.277
"1454","P10412","P20936",4,4,"H1-4","RASA1","poor",0.335,0.457,0.223
"1455","P10412","P23527",9,8,"H1-4","H2BC17","rich",0.812,0.826,1
"1456","P10412","P33778",6,6,"H1-4","H2BC3","rich",0.786,0.826,1
"1457","P10412","P35241",1,1,"H1-4","RDX","poor",0.256,0.715,0.147
"1458","P10412","P46100",12,3,"H1-4","ATRX","poor",0.759,0.544,0.378
"1459","P10412","P49917",1,1,"H1-4","LIG4","poor",0.687,0.551,0.255
"1460","P10412","P51825",1,1,"H1-4","AFF1","poor",0.468,1,0.328
"1461","P10412","P57053",14,12,"H1-4","H2BC12L","rich",0.746,0.747,0.029
"1462","P10412","P58876",9,8,"H1-4","H2BC5","rich",0.748,0.796,0
"1463","P10412","P62805",24,14,"H1-4","H4C1","rich",0.663,0.866,0.441
"1464","P10412","P62807",16,14,"H1-4","H2BC4","rich",0.696,0.823,0.283
"1465","P10412","P68104",1,1,"H1-4","EEF1A1","poor",0.443,0.619,0.2
"1466","P10412","P68431",191,73,"H1-4","H3C1","rich",0.658,0.812,0.508
"1467","P10412","P84243",182,68,"H1-4","H3-3A","rich",0.686,0.78,0.482
"1468","P10412","Q02241",2,1,"H1-4","KIF23","poor",0.501,0.423,0.142
"1469","P10412","Q02880",1,1,"H1-4","TOP2B","poor",0.727,0.597,0.211
"1470","P10412","Q05639",1,1,"H1-4","EEF1A2","poor",0.37,0.542,0.228
"1471","P10412","Q0ZGT2",1,1,"H1-4","NEXN","poor",0.333,0.394,0.14
"1472","P10412","Q14118",1,1,"H1-4","DAG1","poor",0.34,0.583,0.091
"1473","P10412","Q14151",1,1,"H1-4","SAFB2","poor",0.642,0.745,0.349
"1474","P10412","Q14203",1,1,"H1-4","DCTN1","poor",0.411,0.542,0.152
"1475","P10412","Q14241",2,1,"H1-4","ELOA","poor",0.604,1,0.449
"1476","P10412","Q14571",4,3,"H1-4","ITPR2","rich",0.423,0.36,0.113
"1477","P10412","Q14573",2,1,"H1-4","ITPR3","poor",0.421,0.38,0.074
"1478","P10412","Q14643",2,1,"H1-4","ITPR1","poor",0.413,0.364,0.103
"1479","P10412","Q14677",2,2,"H1-4","CLINT1","poor",0.476,0.538,0.218
"1480","P10412","Q14683",1,1,"H1-4","SMC1A","poor",0.644,0.665,0.243
"1481","P10412","Q14978",3,3,"H1-4","NOLC1","poor",0.566,0.557,0.267
"1482","P10412","Q16695",165,59,"H1-4","H3-4","rich",0.778,0.826,0.534
"1483","P10412","Q16777",18,9,"H1-4","H2AC20","rich",0.821,0.715,0.277
"1484","P10412","Q16778",16,14,"H1-4","H2BC21","rich",0.696,0.826,0.283
"1485","P10412","Q29RF7",1,1,"H1-4","PDS5A","poor",0.718,1,0.371
"1486","P10412","Q5JSZ5",1,1,"H1-4","PRRC2B","poor",0,0.717,0.156
"1487","P10412","Q5QNW6",8,7,"H1-4","H2BC18","rich",0.748,0.722,0
"1488","P10412","Q5TEC6",191,73,"H1-4","H3-7","rich",0.887,0.747,0
"1489","P10412","Q5VTE0",1,1,"H1-4","EEF1A1P5","poor",0.535,0.4,0.269
"1490","P10412","Q6DN03",3,2,"H1-4","H2BC20P","rich",0,0,0
"1491","P10412","Q6DRA6",3,2,"H1-4","H2BC19P","rich",0.925,0.747,0
"1492","P10412","Q6FI13",32,13,"H1-4","H2AC18","rich",0.821,0.789,0.277
"1493","P10412","Q6NXT2",182,68,"H1-4","H3-5","rich",0.89,0.819,0.161
"1494","P10412","Q71DI3",191,73,"H1-4","H3C15","rich",0.742,0.826,0.534
"1495","P10412","Q7L7L0",32,13,"H1-4","H2AW","rich",0,0,0
"1496","P10412","Q7Z6E9",2,2,"H1-4","RBBP6","poor",0.662,0.581,0.179
"1497","P10412","Q8IUE6",8,5,"H1-4","H2AC21","poor",0.821,0.789,0.277
"1498","P10412","Q8N257",8,7,"H1-4","H2BU1","rich",0,0,0
"1499","P10412","Q8TCU6",1,1,"H1-4","PREX1","poor",0.293,0.474,0.14
"1500","P10412","Q93077",32,13,"H1-4","H2AC6","rich",0.803,0.789,0.321
"1501","P10412","Q93079",9,8,"H1-4","H2BC9","rich",0.701,0.802,1
"1502","P10412","Q96A08",4,4,"H1-4","H2BC1","rich",0.778,0.747,0.423
"1503","P10412","Q96KK5",32,13,"H1-4","H2AC12","rich",0.821,0.715,0.277
"1504","P10412","Q96NR8",1,1,"H1-4","RDH12","poor",0.325,0.401,0.101
"1505","P10412","Q96QV6",8,5,"H1-4","H2AC1","poor",0.787,0.739,0.351
"1506","P10412","Q96RF0",1,1,"H1-4","SNX18","poor",0.294,0.466,0.119
"1507","P10412","Q99877",9,8,"H1-4","H2BC15","rich",0.748,0.747,1
"1508","P10412","Q99878",29,12,"H1-4","H2AC14","rich",0,0,0
"1509","P10412","Q99879",5,5,"H1-4","H2BC14","rich",0.748,0.747,1
"1510","P10412","Q99880",9,8,"H1-4","H2BC13","rich",0.748,0.826,1
"1511","P10412","Q9BQG0",1,1,"H1-4","MYBBP1A","poor",0.592,0.536,0.4
"1512","P10412","Q9BTM1",18,9,"H1-4","H2AJ","rich",0.821,0.715,0.277
"1513","P10412","Q9BY42",1,1,"H1-4","RTF2","poor",0.794,0.739,0.152
"1514","P10412","Q9BZZ5",1,1,"H1-4","API5","poor",0.597,0.711,0.107
"1515","P10412","Q9GZR7",1,1,"H1-4","DDX24","poor",0.477,0.578,0.454
"1516","P10412","Q9UIG0",1,1,"H1-4","BAZ1B","poor",0.693,0.399,0.453
"1517","P10412","Q9UPQ0",2,2,"H1-4","LIMCH1","poor",0.408,0.33,0.196
"1518","P10412","Q9Y314",1,1,"H1-4","NOSIP","poor",0.583,0.632,0.15
"1519","P10412","Q9Y490",1,1,"H1-4","TLN1","poor",0.338,0.543,0.213
"1520","P10412","Q9Y520",2,2,"H1-4","PRRC2C","rich",0.373,0.717,0.183
"1521","P10809","P20671",1,1,"HSPD1","H2AC7","poor",0.419,0.399,0.228
"1522","P10809","Q16777",1,1,"HSPD1","H2AC20","poor",0.419,0.399,0.228
"1523","P10809","Q6FI13",1,1,"HSPD1","H2AC18","poor",0.419,0.53,0.228
"1524","P10809","Q7L7L0",1,1,"HSPD1","H2AW","poor",0,0,0
"1525","P10809","Q93077",1,1,"HSPD1","H2AC6","poor",0.441,0.53,0.174
"1526","P10809","Q96KK5",1,1,"HSPD1","H2AC12","poor",0.419,0.399,0.228
"1527","P10809","Q99878",1,1,"HSPD1","H2AC14","poor",0,0,0
"1528","P10809","Q9BTM1",1,1,"HSPD1","H2AJ","poor",0.419,0.399,0.228
"1529","P11021","P11498",1,1,"HSPA5","PC","poor",0.667,0.655,0.124
"1530","P11021","P46783",1,1,"HSPA5","RPS10","poor",0.682,0.552,0.099
"1531","P11021","P60866",2,1,"HSPA5","RPS20","poor",0.686,0.544,0.208
"1532","P11021","Q15149",1,1,"HSPA5","PLEC","poor",0.655,0.599,0.297
"1533","P11021","Q8N0X7",1,1,"HSPA5","SPART","poor",0.743,0.626,0.323
"1534","P11021","Q8N3V7",1,1,"HSPA5","SYNPO","poor",0.59,0.581,0.123
"1535","P11021","Q9P225",1,1,"HSPA5","DNAH2","poor",0.331,0.613,0.131
"1536","P11142","P14625",4,2,"HSPA8","HSP90B1","poor",0.756,0.749,0.423
"1537","P11142","P23526",1,1,"HSPA8","AHCY","poor",0.614,0.481,0.182
"1538","P11142","P31948",21,2,"HSPA8","STIP1","poor",0.613,0.566,0.326
"1539","P11142","P34932",14,5,"HSPA8","HSPA4","rich",0.577,0.616,0.431
"1540","P11142","P46013",1,1,"HSPA8","MKI67","poor",0.588,0.613,0.291
"1541","P11142","P50502",7,1,"HSPA8","ST13","poor",0.518,0.577,0.346
"1542","P11142","Q58FF3",4,2,"HSPA8","HSP90B2P","poor",0.428,0.655,1
"1543","P11142","Q58FF7",5,3,"HSPA8","HSP90AB3P","poor",0.601,0.687,0.402
"1544","P11142","Q86XX4",1,1,"HSPA8","FRAS1","poor",0.3,0.357,0.259
"1545","P11142","Q8IYU8",2,1,"HSPA8","MICU2","poor",0.406,0.489,0.122
"1546","P11142","Q8IZP2",7,1,"HSPA8","ST13P4","poor",0.493,0.788,0
"1547","P11142","Q92598",14,5,"HSPA8","HSPH1","rich",0.736,0.614,0.411
"1548","P11142","Q9Y3E1",1,1,"HSPA8","HDGFL3","poor",0.629,0.325,0.269
"1549","P11172","P51149",1,1,"UMPS","RAB7A","poor",0.526,0.078,0.145
"1550","P11277","P12270",1,1,"SPTB","TPR","poor",0.443,0.607,0.147
"1551","P11277","Q7KZF4",1,1,"SPTB","SND1","poor",0.53,0.438,0.136
"1552","P11387","P13797",1,1,"TOP1","PLS3","poor",0.407,0.239,0.207
"1553","P11387","P23528",3,2,"TOP1","CFL1","poor",0.505,0.418,0.288
"1554","P11387","P42167",2,1,"TOP1","TMPO","poor",0.625,0.692,0
"1555","P11387","P46782",1,1,"TOP1","RPS5","poor",0.594,0.616,0.306
"1556","P11387","Q17RB8",1,1,"TOP1","LONRF1","poor",0.456,0.411,0
"1557","P11387","Q9UQ16",1,1,"TOP1","DNM3","poor",0.351,0.444,0.256
"1558","P11388","P68431",2,1,"TOP2A","H3C1","poor",0.71,0.638,0.294
"1559","P11388","P84243",2,1,"TOP2A","H3-3A","poor",0.751,0.545,0.251
"1560","P11388","Q5TEC6",2,1,"TOP2A","H3-7","poor",0.633,0.54,0
"1561","P11388","Q6NXT2",2,1,"TOP2A","H3-5","poor",0.656,0.549,0.307
"1562","P11388","Q71DI3",2,1,"TOP2A","H3C15","poor",0.608,0.637,0.24
"1563","P11586","Q14103",1,1,"MTHFD1","HNRNPD","poor",0.569,0.371,0.238
"1564","P11586","Q6KC79",1,1,"MTHFD1","NIPBL","poor",0.714,0.385,0.326
"1565","P11586","Q9Y2L1",1,1,"MTHFD1","DIS3","poor",0.693,0.316,0.19
"1566","P12035","P42285",1,1,"KRT3","MTREX","poor",0.334,0.421,0.126
"1567","P12035","Q03989",1,1,"KRT3","ARID5A","poor",0.319,0.479,0.152
"1568","P12035","Q04695",64,13,"KRT3","KRT17","rich",0.749,0.871,0.719
"1569","P12036","P50991",1,1,"NEFH","CCT4","poor",0.528,0.449,0.187
"1570","P12036","Q00839",1,1,"NEFH","HNRNPU","poor",0.508,0.416,0.249
"1571","P12036","Q8WZ42",1,1,"NEFH","TTN","poor",0.483,0.572,0.221
"1572","P12036","Q9Y639",1,1,"NEFH","NPTN","poor",0.473,0.557,0.305
"1573","P12268","Q14019",2,1,"IMPDH2","COTL1","poor",0.84,0.544,0.185
"1574","P12270","P21399",1,1,"TPR","ACO1","poor",0.595,0.625,0.221
"1575","P12270","P26358",1,1,"TPR","DNMT1","poor",0.726,0.626,0.272
"1576","P12270","P35579",1,1,"TPR","MYH9","poor",0.568,0.627,0.287
"1577","P12270","P52209",1,1,"TPR","PGD","poor",0.645,0.236,0.082
"1578","P12270","Q01082",1,1,"TPR","SPTBN1","poor",0.535,0.693,0.28
"1579","P12270","Q7Z406",1,1,"TPR","MYH14","poor",0.462,0.423,0.172
"1580","P12270","Q9H254",1,1,"TPR","SPTBN4","poor",0.51,0.576,0.247
"1581","P12277","P51858",2,1,"CKB","HDGF","poor",0.661,0.35,0.109
"1582","P12814","P31943",1,1,"ACTN1","HNRNPH1","poor",0.463,0.633,0.168
"1583","P12814","P55795",1,1,"ACTN1","HNRNPH2","poor",0.468,0.618,0.5
"1584","P12814","P60709",21,2,"ACTN1","ACTB","poor",0.696,0.57,0.367
"1585","P12814","P62736",21,2,"ACTN1","ACTA2","poor",0.66,0.295,0.197
"1586","P12814","P62753",1,1,"ACTN1","RPS6","poor",0.51,0.619,0.282
"1587","P12814","P63261",21,2,"ACTN1","ACTG1","poor",0.772,0.58,0.377
"1588","P12814","P63267",21,2,"ACTN1","ACTG2","poor",0.676,0.17,0.161
"1589","P12814","P68032",21,2,"ACTN1","ACTC1","poor",0.787,0.347,0.524
"1590","P12814","P68133",21,2,"ACTN1","ACTA1","poor",0.716,0.499,0.309
"1591","P12814","Q562R1",16,1,"ACTN1","ACTBL2","poor",0.693,0.58,0.409
"1592","P12956","P13010",21,9,"XRCC6","XRCC5","rich",0.947,0.945,0.75
"1593","P12956","P23528",2,1,"XRCC6","CFL1","poor",0.6,0.402,0.216
"1594","P12956","P39023",5,1,"XRCC6","RPL3","poor",0.701,0.546,0.215
"1595","P12956","Q92901",5,1,"XRCC6","RPL3L","poor",0.444,0.418,0.202
"1596","P13010","Q5SSJ5",1,1,"XRCC5","HP1BP3","poor",0.553,0.599,0.349
"1597","P13010","Q86SE5",3,1,"XRCC5","RALYL","poor",0.48,0.543,0
"1598","P13010","Q9GZR7",1,1,"XRCC5","DDX24","poor",0.525,0.709,0.729
"1599","P13010","Q9UFC0",1,1,"XRCC5","LRWD1","poor",0.648,0.467,0.292
"1600","P13010","Q9Y6F1",2,1,"XRCC5","PARP3","poor",0.605,0.331,0.44
"1601","P13073","P16401",1,1,"COX4I1","H1-5","poor",0.551,0.458,0.133
"1602","P13073","P46100",1,1,"COX4I1","ATRX","poor",0.559,0.415,0.152
"1603","P13612","Q9UPT8",2,1,"ITGA4","ZC3H4","poor",0.287,0.691,0.057
"1604","P13639","P13797",3,2,"EEF2","PLS3","rich",0.638,0.29,0.187
"1605","P13639","P30040",3,2,"EEF2","ERP29","poor",0.566,0.525,0.222
"1606","P13639","P60709",1,1,"EEF2","ACTB","poor",0.699,0.599,0.19
"1607","P13639","P62736",1,1,"EEF2","ACTA2","poor",0.626,0.516,0.198
"1608","P13639","P63261",1,1,"EEF2","ACTG1","poor",0.731,0.605,0.149
"1609","P13639","P63267",1,1,"EEF2","ACTG2","poor",0.653,0.325,0.307
"1610","P13639","P68032",1,1,"EEF2","ACTC1","poor",0.679,0.459,0.203
"1611","P13639","P68133",1,1,"EEF2","ACTA1","poor",0.59,0.554,0.201
"1612","P13639","Q13769",1,1,"EEF2","THOC5","poor",0.623,0.61,0.441
"1613","P13639","Q14683",1,1,"EEF2","SMC1A","poor",0.6,0.709,0.147
"1614","P13639","Q6ZP82",1,1,"EEF2","CCDC141","poor",0.521,1,0.156
"1615","P13639","Q9H4M9",1,1,"EEF2","EHD1","poor",0.689,0.659,0.136
"1616","P13639","Q9NX20",1,1,"EEF2","MRPL16","poor",0.407,0.348,0.866
"1617","P13639","Q9Y4W6",1,1,"EEF2","AFG3L2","poor",0.388,0.545,0.262
"1618","P13645","P13647",1,1,"KRT10","KRT5","poor",0.91,0.856,0.597
"1619","P13645","P17661",2,1,"KRT10","DES","poor",0.731,0.76,0.378
"1620","P13645","P78385",4,1,"KRT10","KRT83","poor",0.751,0.931,0.675
"1621","P13645","P78386",4,1,"KRT10","KRT85","poor",0.751,0.9,0.73
"1622","P13645","Q14533",4,1,"KRT10","KRT81","poor",0.751,0.931,0.609
"1623","P13645","Q9NSB2",4,1,"KRT10","KRT84","poor",0.744,0.583,0.605
"1624","P13647","P19012",1,1,"KRT5","KRT15","poor",0.901,0.935,0.598
"1625","P13647","P42285",1,1,"KRT5","MTREX","poor",0.57,0.44,0.11
"1626","P13647","Q03989",1,1,"KRT5","ARID5A","poor",0.506,0.482,0.175
"1627","P13647","Q04695",83,20,"KRT5","KRT17","rich",0.746,0.836,0.51
"1628","P13647","Q99456",1,1,"KRT5","KRT12","poor",0.841,0.743,0.449
"1629","P13667","Q13310",1,1,"PDIA4","PABPC4","poor",0.494,0.704,0.153
"1630","P13674","P60981",1,1,"P4HA1","DSTN","poor",0.48,0.559,0.237
"1631","P13693","P68104",6,2,"TPT1","EEF1A1","poor",0.723,0.641,0.1
"1632","P13693","Q05639",6,2,"TPT1","EEF1A2","poor",0.555,0.597,0.233
"1633","P13693","Q5VTE0",6,2,"TPT1","EEF1A1P5","poor",0.845,0.401,0.187
"1634","P13693","Q9Y277",1,1,"TPT1","VDAC3","poor",0.617,0.508,0.172
"1635","P13797","P60709",5,1,"PLS3","ACTB","poor",0.511,0.316,0.155
"1636","P13797","P62736",5,1,"PLS3","ACTA2","poor",0.564,0.196,0.182
"1637","P13797","P63261",5,1,"PLS3","ACTG1","poor",0.616,0.297,0.243
"1638","P13797","P63267",5,1,"PLS3","ACTG2","poor",0.632,0.141,0.202
"1639","P13797","P68032",5,1,"PLS3","ACTC1","poor",0.619,0.253,0.424
"1640","P13797","P68133",5,1,"PLS3","ACTA1","poor",0.645,0.313,0.255
"1641","P13797","Q14315",1,1,"PLS3","FLNC","poor",0.776,0.665,0.446
"1642","P13797","Q562R1",5,1,"PLS3","ACTBL2","poor",0.643,0.314,0.33
"1643","P13797","Q9Y5J1",1,1,"PLS3","UTP18","poor",0.347,0.193,0.178
"1644","P14618","P46778",1,1,"PKM","RPL21","poor",0.633,0.552,0.263
"1645","P14618","Q02878",22,3,"PKM","RPL6","poor",0.64,0.614,0.271
"1646","P14618","Q03252",1,1,"PKM","LMNB2","poor",0.434,0.457,0.207
"1647","P14618","Q12873",1,1,"PKM","CHD3","poor",0.583,0.587,0.254
"1648","P14618","Q14118",4,1,"PKM","DAG1","poor",0.621,0.556,0.204
"1649","P14618","Q14203",1,1,"PKM","DCTN1","poor",0.554,0.473,0.185
"1650","P14618","Q14839",1,1,"PKM","CHD4","poor",0.554,0.533,0.235
"1651","P14618","Q15075",1,1,"PKM","EEA1","poor",0.582,0.503,0.138
"1652","P14618","Q58FF7",2,1,"PKM","HSP90AB3P","poor",0.607,0.456,0.213
"1653","P14618","Q5SSJ5",1,1,"PKM","HP1BP3","poor",0.471,0.507,0.22
"1654","P14618","Q8N5P1",1,1,"PKM","ZC3H8","poor",0.526,0.614,0.312
"1655","P14618","Q92878",1,1,"PKM","RAD50","poor",0.536,0.548,0.232
"1656","P14618","Q9NQ39",1,1,"PKM","RPS10P5","poor",0.504,0.381,0
"1657","P14618","Q9Y606",1,1,"PKM","PUS1","poor",0.668,0.423,0.157
"1658","P14625","P16403",4,3,"HSP90B1","H1-2","rich",0.422,0.56,0.161
"1659","P14625","P17066",1,1,"HSP90B1","HSPA6","poor",0.671,0.811,0.354
"1660","P14625","P34931",1,1,"HSP90B1","HSPA1L","poor",0.657,0.791,0.333
"1661","P14625","P50570",1,1,"HSP90B1","DNM2","poor",0.638,0.608,0.345
"1662","P14625","P52298",1,1,"HSP90B1","NCBP2","poor",0.613,0.662,0.207
"1663","P14625","P54652",1,1,"HSP90B1","HSPA2","poor",0.679,0.774,0.333
"1664","P14625","Q15050",1,1,"HSP90B1","RRS1","poor",0.54,0.613,0.185
"1665","P14625","Q96J77",6,1,"HSP90B1","TPD52L3","poor",0.841,1,0
"1666","P14625","Q9NYL9",3,2,"HSP90B1","TMOD3","poor",0.333,0.341,0.236
"1667","P14625","Q9Y2X3",1,1,"HSP90B1","NOP58","poor",0.594,0.611,0.154
"1668","P14635","Q13151",1,1,"CCNB1","HNRNPA0","poor",0.558,0.44,0.112
"1669","P14678","P62314",3,2,"SNRPB","SNRPD1","rich",0.967,0.79,0.951
"1670","P14678","P62318",4,2,"SNRPB","SNRPD3","poor",0.974,0.846,1
"1671","P14735","P47914",1,1,"IDE","RPL29","poor",0.622,0.316,0.242
"1672","P14866","Q00839",3,1,"HNRNPL","HNRNPU","poor",0.741,0.696,0.393
"1673","P15170","P42696",1,1,"GSPT1","RBM34","poor",0.445,0.579,0.239
"1674","P15170","P63173",2,1,"GSPT1","RPL38","poor",0.786,0.645,0.425
"1675","P15170","Q9UKV3",1,1,"GSPT1","ACIN1","poor",0.596,0.788,0.247
"1676","P15259","P22695",1,1,"PGAM2","UQCRC2","poor",0.491,0.497,0.19
"1677","P15259","Q9UI12",1,1,"PGAM2","ATP6V1H","poor",0.522,0.442,0.104
"1678","P15559","P35579",1,1,"NQO1","MYH9","poor",0.528,0.535,0.187
"1679","P15880","P23396",17,2,"RPS2","RPS3","poor",0.831,0.693,0.314
